Rep,Method,MSE
South/North_Rep1,AnchorBooster-medium,0.26810470309933887
South/North_Rep1,AnchorBooster-large,0.2663461118208615
South/North_Rep1,LS,0.28413835522097863
South/North_Rep1,AVE,1.2724068430685056
South/North_Rep1,CF-medium,0.8755984305990477
South/North_Rep1,CF-small,0.5891594664078004
South/North_Rep1,CF-large,1.045621599478735
South/North_Rep1,GroupDRO,0.4569310225994651
South/North_Rep2,BCF,0.3438234040072108
South/North_Rep2,AnchorBooster-small,0.2809250644427902
South/North_Rep2,AnchorBooster-medium,0.28249578134141656
South/North_Rep2,AnchorBooster-large,0.28127885668223135
South/North_Rep2,LS,0.3015652701884345
South/North_Rep2,AVE,1.209345871757652
South/North_Rep2,CF-medium,0.8419894962735716
South/North_Rep2,CF-small,0.5845803904890454
South/North_Rep2,CF-large,1.025718140194064
South/North_Rep2,GroupDRO,0.4550728558199389
South/North_Rep3,BCF,0.38354287535373743
South/North_Rep3,AnchorBooster-small,0.2979824408896758
South/North_Rep3,AnchorBooster-medium,0.29572874917216124
South/North_Rep3,AnchorBooster-large,0.2937174393138207
South/North_Rep3,LS,0.3277286129496028
South/North_Rep3,AVE,1.2488331705594222
South/North_Rep3,CF-medium,0.9000156062060652
South/North_Rep3,CF-small,0.6228684415087744
South/North_Rep3,CF-large,1.0936361330162132
South/North_Rep3,GroupDRO,0.526366080395232
South/North_Rep4,BCF,0.3668100916457734
South/North_Rep4,AnchorBooster-small,0.296691311265372
South/North_Rep4,AnchorBooster-medium,0.29613711548066335
South/North_Rep4,AnchorBooster-large,0.29307232701451913
South/North_Rep4,LS,0.3147912347805549
South/North_Rep4,AVE,1.2513571336275187
South/North_Rep4,CF-medium,0.903606060159155
South/North_Rep4,CF-small,0.6120157063319047
South/North_Rep4,CF-large,1.0639421855095321
South/North_Rep4,GroupDRO,0.4947972781392247
South/North_Rep5,BCF,0.3557861367792013
South/North_Rep5,AnchorBooster-small,0.27360081897437066
South/North_Rep5,AnchorBooster-medium,0.2761879401483514
South/North_Rep5,AnchorBooster-large,0.271605808226457
South/North_Rep5,LS,0.2978015987056447
South/North_Rep5,AVE,1.2578754449407443
South/North_Rep5,CF-medium,0.9182351809899865
South/North_Rep5,CF-small,0.6184671409258926
South/North_Rep5,CF-large,1.0925695629587575
South/North_Rep5,GroupDRO,0.5718459566382779
South/North_Rep6,BCF,0.3536550448849612
South/North_Rep6,AnchorBooster-small,0.2881573306174401
