model,test_mse,int_par,rep_id
CF,1.6785176881407726,3.99,5
OLS,0.7573074583375061,0.5,5
OLS,0.8807990913875939,1.0,5
OLS,1.0428880313388904,1.5,5
OLS,1.2635803184358292,2.0,5
OLS,1.6126514609827431,2.5,5
OLS,2.117478303506884,3.0,5
OLS,2.909963892210531,3.5,5
OLS,3.9499042051724427,3.99,5
IMP,1.2920614890568596,0.5,5
IMP,1.2920614890568596,1.0,5
IMP,1.2920614890568596,1.5,5
IMP,1.2920614890568596,2.0,5
IMP,1.2920614890568596,2.5,5
IMP,1.2920614890568596,3.0,5
IMP,1.2920614890568596,3.5,5
IMP,1.2920614890568596,3.99,5
Causal,1.8636852836395288,0.5,5
Causal,1.8636852836395288,1.0,5
Causal,1.8636852836395288,1.5,5
Causal,1.8636852836395288,2.0,5
Causal,1.8636852836395288,2.5,5
Causal,1.8636852836395288,3.0,5
Causal,1.8636852836395288,3.5,5
Causal,1.8636852836395288,3.99,5
BCF,1.3493414023232597,0.5,6
BCF,1.3375402454629808,1.0,6
BCF,1.29238514856139,1.5,6
BCF,1.3716590325836742,2.0,6
BCF,1.4914689644448589,2.5,6
BCF,1.5882079670377671,3.0,6
BCF,1.7593528291673217,3.5,6
BCF,2.019001801506411,3.99,6
CF,1.522063636427624,0.5,6
CF,1.493373140221045,1.0,6
CF,1.5173558976112158,1.5,6
CF,1.5633685186137254,2.0,6
CF,1.679949016223859,2.5,6
CF,1.7996724259421117,3.0,6
CF,2.0013483341670217,3.5,6
CF,2.2888177569838173,3.99,6
OLS,0.719607802039325,0.5,6
OLS,0.799835426780021,1.0,6
OLS,1.012740314127748,1.5,6
OLS,1.2082446691758564,2.0,6
OLS,1.6998554255760787,2.5,6
OLS,2.256895920673311,3.0,6
OLS,2.891668262036562,3.5,6
OLS,3.8019382581912704,3.99,6
IMP,1.2755426350522174,0.5,6
IMP,1.2755426350522174,1.0,6
IMP,1.2755426350522174,1.5,6
IMP,1.2755426350522174,2.0,6
IMP,1.2755426350522174,2.5,6
IMP,1.2755426350522174,3.0,6
IMP,1.2755426350522174,3.5,6
IMP,1.2755426350522174,3.99,6
Causal,1.8648086546797282,0.5,6
Causal,1.8648086546797282,1.0,6
Causal,1.8648086546797285,1.5,6
Causal,1.8648086546797285,2.0,6
Causal,1.8648086546797282,2.5,6
Causal,1.8648086546797282,3.0,6
Causal,1.8648086546797282,3.5,6
Causal,1.8648086546797282,3.99,6
BCF,1.1094282914303002,0.5,7
BCF,1.0760067827925797,1.0,7
BCF,1.0942278089077278,1.5,7
BCF,1.105867306771444,2.0,7
BCF,1.0730702222902924,2.5,7
BCF,1.099298120775314,3.0,7
BCF,1.1694505343068973,3.5,7
BCF,1.2012560864233846,3.99,7
CF,1.0772795804187065,0.5,7
CF,1.067563735452029,1.0,7
CF,1.0667520019167513,1.5,7
CF,1.06866117380177,2.0,7
CF,1.0096019600065613,2.5,7
CF,1.0640111141955042,3.0,7
CF,1.1274782969180879,3.5,7
CF,1.2148486091008597,3.99,7
OLS,0.7407071257875872,0.5,7
OLS,0.8413903808436698,1.0,7
OLS,0.9949529727711376,1.5,7
OLS,1.2572621554141505,2.0,7
OLS,1.6380894349175479,2.5,7
OLS,2.2257647903564135,3.0,7
OLS,3.0680833835593964,3.5,7
OLS,4.152002858915756,3.99,7
IMP,1.2416464215720102,0.5,7
IMP,1.2416464215720102,1.0,7
IMP,1.2416464215720102,1.5,7
IMP,1.2416464215720102,2.0,7
IMP,1.2416464215720102,2.5,7
IMP,1.2416464215720102,3.0,7
IMP,1.2416464215720102,3.5,7
IMP,1.2416464215720102,3.99,7
Causal,1.968552897354136,0.5,7
Causal,1.9685528973541362,1.0,7
Causal,1.9685528973541362,1.5,7
Causal,1.9685528973541362,2.0,7
Causal,1.968552897354136,2.5,7
Causal,1.9685528973541362,3.0,7
Causal,1.968552897354136,3.5,7
Causal,1.9685528973541362,3.99,7
BCF,1.0370322460991832,0.5,8
BCF,1.032004656623075,1.0,8
BCF,1.0254241666758357,1.5,8
BCF,1.0193899532377815,2.0,8
BCF,0.898413431127935,2.5,8
BCF,0.845976168532858,3.0,8
BCF,0.8144659981778215,3.5,8
BCF,0.8525187128290679,3.99,8
CF,2.884966860698756,0.5,8
CF,2.8176004450562084,1.0,8
CF,2.7643038065436114,1.5,8
CF,2.705689542413218,2.0,8
CF,2.5378667227929372,2.5,8
CF,2.4567936913707897,3.0,8
CF,2.370561271595443,3.5,8
CF,2.367308209811852,3.99,8
OLS,0.7934551495990197,0.5,8
OLS,0.8481306830011952,1.0,8
OLS,1.019474529679592,1.5,8
OLS,1.1973764501440018,2.0,8
OLS,1.4934118641291985,2.5,8
OLS,2.1355151501974006,3.0,8
OLS,2.915629518044295,3.5,8
OLS,3.936070835818248,3.99,8
IMP,1.2625080178168746,0.5,8
IMP,1.2625080178168748,1.0,8
IMP,1.2625080178168748,1.5,8
IMP,1.2625080178168748,2.0,8
IMP,1.2625080178168748,2.5,8
IMP,1.2625080178168748,3.0,8
IMP,1.2625080178168746,3.5,8
IMP,1.2625080178168748,3.99,8
Causal,1.9383676764415825,0.5,8
Causal,1.9383676764415825,1.0,8
Causal,1.9383676764415825,1.5,8
Causal,1.9383676764415825,2.0,8
Causal,1.9383676764415825,2.5,8
Causal,1.9383676764415825,3.0,8
Causal,1.9383676764415827,3.5,8
Causal,1.9383676764415825,3.99,8
BCF,1.3544819916459874,0.5,9
BCF,1.535620474587081,1.0,9
BCF,1.6759090298514172,1.5,9
BCF,1.9342076609337429,2.0,9
BCF,2.305983706246727,2.5,9
BCF,2.763811846337556,3.0,9
BCF,3.477925870445138,3.5,9
BCF,4.383184646906226,3.99,9
CF,5.835563133414709,0.5,9
CF,5.830457846999181,1.0,9
CF,5.702236891276429,1.5,9
CF,5.586954839393354,2.0,9
CF,5.546923402232726,2.5,9
CF,5.46574808708575,3.0,9
CF,5.520388146806634,3.5,9
CF,5.6807928160136845,3.99,9
OLS,0.7559467082099752,0.5,9
OLS,0.8764548997331685,1.0,9
OLS,0.9613884722119796,1.5,9
OLS,1.176204508421224,2.0,9
OLS,1.398556265030922,2.5,9
OLS,1.8296658237737904,3.0,9
OLS,2.448354150238937,3.5,9
OLS,3.2902497636300576,3.99,9
IMP,1.1565325096267867,0.5,9
IMP,1.1565325096267867,1.0,9
IMP,1.1565325096267867,1.5,9
IMP,1.1565325096267867,2.0,9
IMP,1.1565325096267867,2.5,9
