Rep,Method,MSE,MSE_standard_error
rest/SE_Rep6,BCF,0.48815576796693444,0.023987453246149256
rest/SE_Rep6,BCF-lin,1.264745302683192,0.5829578450538396
rest/SE_Rep6,LS,0.265082929736856,0.01833643521100591
rest/SE_Rep6,OLS,0.6313908920093475,0.06760446393346933
rest/SE_Rep6,AVE,1.3375964272797631,0.047658403483481715
rest/SE_Rep1,BCF,0.5042452525026593,0.025010166127701596
rest/SE_Rep1,BCF-lin,1.2093685907765053,0.6287949410878102
rest/SE_Rep1,LS,0.2684615117400042,0.01723516474946134
rest/SE_Rep1,OLS,0.6394769271535536,0.06999805362305729
rest/SE_Rep1,AVE,1.373923870656682,0.049248889867250026
rest/SE_Rep5,BCF,0.5113493475103358,0.022407386612039656
rest/SE_Rep5,BCF-lin,0.5116851218987856,0.0323020981719791
rest/SE_Rep5,LS,0.25701918068572904,0.015607790955500122
rest/SE_Rep5,OLS,0.5616254602991553,0.029011469136599785
rest/SE_Rep5,AVE,1.4078116775717617,0.04861854074451941
rest/SE_Rep8,BCF,0.4772628360287358,0.022039284364550476
rest/SE_Rep8,BCF-lin,0.4897381075909317,0.04599320316049796
rest/SE_Rep8,LS,0.23384151567895667,0.013733180401817868
rest/SE_Rep8,OLS,0.48648197624101747,0.02415314956838577
rest/SE_Rep8,AVE,1.317280978997687,0.04549316566060948
rest/SE_Rep2,BCF,0.45610941870939653,0.02245811450225649
rest/SE_Rep2,BCF-lin,0.4843570451754987,0.02925447411737717
rest/SE_Rep2,LS,0.24820258922889482,0.015656541272811443
rest/SE_Rep2,OLS,0.5082093707390459,0.02685059858577463
rest/SE_Rep2,AVE,1.3657667218475298,0.04795170429602382
rest/SE_Rep4,BCF,0.5226372983165736,0.027099842365586387
rest/SE_Rep4,BCF-lin,1.1486304973931711,0.5948582443200672
rest/SE_Rep4,LS,0.27704993325976035,0.01956905597954056
rest/SE_Rep4,OLS,0.6112276788860126,0.06937629682157956
rest/SE_Rep4,AVE,1.3756153946189023,0.0495523955231338
rest/SE_Rep7,BCF,0.5247560066436826,0.025749407287903057
rest/SE_Rep7,BCF-lin,0.4875083953050307,0.02599535812533574
rest/SE_Rep7,LS,0.25317348815023494,0.01765043489323272
rest/SE_Rep7,OLS,0.5626529115223755,0.029220051542233248
rest/SE_Rep7,AVE,1.4010832618595856,0.0499536723592949
rest/SE_Rep3,BCF,0.4522106041036886,0.02030094239223664
rest/SE_Rep3,BCF-lin,0.6679817128719725,0.1156052430267077
rest/SE_Rep3,LS,0.22288546257993216,0.013453300913500308
rest/SE_Rep3,OLS,0.5519623815100229,0.033001742708133504
rest/SE_Rep3,AVE,1.4123663638442943,0.04958091883937563
rest/SE_Rep10,BCF,0.4994879409525436,0.02414857071855905
rest/SE_Rep10,BCF-lin,0.5060421470941001,0.036202216845507056
rest/SE_Rep10,LS,0.24500033907903918,0.016052608432432478
rest/SE_Rep10,OLS,0.5508433842074753,0.029177192788052402
rest/SE_Rep10,AVE,1.4022411989926105,0.0496810414758892
rest/SE_Rep9,BCF,0.4893388696865232,0.021396337980683383
rest/SE_Rep9,BCF-lin,0.5781717109529946,0.05043978827931844
