model,test_mse,int_par,rep_id
IMP,1.1057726017871832,3.0,6
IMP,1.1057726017871832,3.5,6
IMP,1.1057726017871832,3.99,6
Causal,2.0494170071566633,0.5,6
Causal,2.0494170071566633,1.0,6
Causal,2.0494170071566633,1.5,6
Causal,2.0494170071566633,2.0,6
Causal,2.0494170071566633,2.5,6
Causal,2.0494170071566633,3.0,6
Causal,2.0494170071566633,3.5,6
Causal,2.0494170071566633,3.99,6
BCF,1.2940591649346438,0.5,7
BCF,1.240841678810304,1.0,7
BCF,1.216467032357624,1.5,7
BCF,1.1921788467731766,2.0,7
BCF,1.1693774903791796,2.5,7
BCF,1.1797057757462541,3.0,7
BCF,1.1540775970111847,3.5,7
BCF,1.1421424567563294,3.99,7
CF,5.381499622627236,0.5,7
CF,5.381685307773008,1.0,7
CF,5.356717836479336,1.5,7
CF,5.324839808544393,2.0,7
CF,5.304866621769092,2.5,7
CF,5.292175320876415,3.0,7
CF,5.2782015941044245,3.5,7
CF,5.248024109778337,3.99,7
OLS,0.39342981332197813,0.5,7
OLS,0.634949084769971,1.0,7
OLS,1.0174042533389083,1.5,7
OLS,1.3982707048456722,2.0,7
OLS,1.778735452846636,2.5,7
OLS,1.847086280555664,3.0,7
OLS,1.8544980469217385,3.5,7
OLS,1.816860978525503,3.99,7
IMP,1.1562752683348583,0.5,7
IMP,1.156275268334858,1.0,7
IMP,1.156275268334858,1.5,7
IMP,1.156275268334858,2.0,7
IMP,1.156275268334858,2.5,7
IMP,1.156275268334858,3.0,7
IMP,1.156275268334858,3.5,7
IMP,1.156275268334858,3.99,7
Causal,2.061439281178809,0.5,7
Causal,2.061439281178809,1.0,7
Causal,2.061439281178809,1.5,7
Causal,2.061439281178809,2.0,7
Causal,2.061439281178809,2.5,7
Causal,2.061439281178809,3.0,7
Causal,2.061439281178809,3.5,7
Causal,2.061439281178809,3.99,7
BCF,1.2084014011335353,0.5,8
BCF,1.1984555810715416,1.0,8
BCF,1.1997174259639978,1.5,8
BCF,1.190734652790281,2.0,8
BCF,1.179573911765021,2.5,8
BCF,1.1656257944433042,3.0,8
BCF,1.1909755467767047,3.5,8
BCF,1.183819541862294,3.99,8
CF,3.0032097635034454,0.5,8
CF,3.005309542774998,1.0,8
CF,3.0227731649575325,1.5,8
CF,3.0588656356958435,2.0,8
CF,3.070962304888574,2.5,8
CF,3.1134591116916255,3.0,8
CF,3.1834008903918165,3.5,8
CF,3.244246282902609,3.99,8
OLS,0.3332878462122549,0.5,8
OLS,0.7292174039903746,1.0,8
OLS,1.1829023203460693,1.5,8
OLS,1.738617140393904,2.0,8
OLS,2.019049309636881,2.5,8
OLS,2.1676577013078395,3.0,8
OLS,2.2987165828726415,3.5,8
OLS,2.4636082601708535,3.99,8
IMP,1.2655317354882853,0.5,8
IMP,1.265531735488286,1.0,8
IMP,1.2655317354882856,1.5,8
IMP,1.2655317354882856,2.0,8
IMP,1.2655317354882853,2.5,8
IMP,1.2655317354882856,3.0,8
IMP,1.2655317354882853,3.5,8
IMP,1.265531735488286,3.99,8
Causal,2.0669445098665054,0.5,8
Causal,2.0669445098665054,1.0,8
Causal,2.0669445098665054,1.5,8
Causal,2.0669445098665054,2.0,8
Causal,2.0669445098665054,2.5,8
Causal,2.0669445098665054,3.0,8
Causal,2.0669445098665054,3.5,8
Causal,2.0669445098665054,3.99,8
BCF,1.0197530913277029,0.5,9
BCF,1.0598165242769908,1.0,9
BCF,1.1221310603167305,1.5,9
BCF,1.150135959815649,2.0,9
BCF,1.208452511154555,2.5,9
BCF,1.2149181537599412,3.0,9
BCF,1.2549138607002641,3.5,9
BCF,1.359670381694095,3.99,9
CF,3.2300769567415375,0.5,9
CF,3.308051119963335,1.0,9
CF,3.3709331442097463,1.5,9
CF,3.413823015897026,2.0,9
CF,3.448288171264659,2.5,9
CF,3.4692429215625316,3.0,9
CF,3.4993361164097387,3.5,9
CF,3.5869416104529526,3.99,9
OLS,0.3840551024416178,0.5,9
OLS,0.7087025493642602,1.0,9
OLS,1.0363820566772266,1.5,9
OLS,1.4048104141875501,2.0,9
OLS,1.5623291871213392,2.5,9
OLS,1.6146683668186548,3.0,9
OLS,1.7402533577317234,3.5,9
OLS,1.75624565681973,3.99,9
IMP,1.1032175670030033,0.5,9
IMP,1.1032175670030033,1.0,9
IMP,1.1032175670030033,1.5,9
IMP,1.1032175670030033,2.0,9
IMP,1.1032175670030036,2.5,9
IMP,1.1032175670030033,3.0,9
IMP,1.1032175670030033,3.5,9
IMP,1.1032175670030036,3.99,9
Causal,2.000413651053597,0.5,9
Causal,2.000413651053597,1.0,9
Causal,2.000413651053597,1.5,9
Causal,2.0004136510535964,2.0,9
Causal,2.000413651053597,2.5,9
Causal,2.0004136510535964,3.0,9
Causal,2.000413651053597,3.5,9
Causal,2.000413651053597,3.99,9
